player,team,draft_count,actual_rs,actual_card_boost,avg_finish,rank,saved_at
Luka Doncic,,10800,4.4,,1,1,2026-03-26T03:12:30.978913+00:00
Victor Wembanyama,,7600,5.3,0.2,2,2,2026-03-26T03:12:30.978913+00:00
Shai Gilgeous-Alexander,,7100,3.4,,2,3,2026-03-26T03:12:30.978913+00:00
Kevin Durant,,4200,5.4,0.5,4,4,2026-03-26T03:12:30.978913+00:00
Cooper Flagg,,4100,5.3,0.7,4,5,2026-03-26T03:12:30.978913+00:00
Deni Avdija,,3200,2.3,0.4,3,6,2026-03-26T03:12:30.978913+00:00
Bam Adebayo,,2700,2.7,0.5,3,7,2026-03-26T03:12:30.978913+00:00
Daniss Jenkins,,2600,5.1,2.6,3,8,2026-03-26T03:12:30.978913+00:00
Paolo Banchero,,2500,4.6,0.6,4,9,2026-03-26T03:12:30.978913+00:00
Nickeil Alexander-Walker,,2500,5.0,0.8,3,10,2026-03-26T03:12:30.978913+00:00
Ryan Rollins,,2500,2.0,0.8,3,11,2026-03-26T03:12:30.978913+00:00
Jalen Duren,,2500,3.0,0.6,4,12,2026-03-26T03:12:30.978913+00:00
Scottie Barnes,,2500,4.3,0.5,3,13,2026-03-26T03:12:30.978913+00:00
Donovan Clingan,,2500,2.7,0.9,5,14,2026-03-26T03:12:30.978913+00:00
Ace Bailey,,2500,5.1,1.9,2,15,2026-03-26T03:12:30.978913+00:00
Brice Sensabaugh,,2200,1.7,2.0,1,16,2026-03-26T03:12:30.978913+00:00
