player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Ace Bailey,5.9,2.1,187,,24.4,highest_value
Precious Achiuwa,5.4,2.3,231,,23.2,highest_value
Reed Sheppard,5.9,1.5,693,,20.8,highest_value
Kyle Filipowski,4.8,2.1,68,,19.5,highest_value
Tristan da Silva,4,2.8,3,,19.2,highest_value
Julian Reese,3.7,3.0,8,,18.6,highest_value
Collin Sexton,4.6,2.0,23,,18.3,highest_value
Kel'el Ware,5.3,1.4,111,,18,highest_value
Isaiah Collier,4.8,1.5,144,,16.7,highest_value
Victor Wembanyama,7.1,0.3,1400,,16.4,highest_value
Klay Thompson,3.5,2.6,2,,16,highest_value
Cody Williams,3.3,3.0,1,,15.8,highest_value
Rudy Gobert,5,1.1,50,,15.6,highest_value
