player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Peyton Watson,6.4,1.5,356,,22.5,highest_value
Ace Bailey,3.8,2.6,20,,17.3,highest_value
Naji Marshall,5.1,1.4,314,,17.2,highest_value
De'Aaron Fox,6.6,0.6,88,,17.1,highest_value
Kelly Oubre Jr.,4.5,1.6,2,,16.4,highest_value
Jusuf Nurkić,5.0,1.2,60,,16.1,highest_value
Simone Fontecchio,3.0,3.0,6,,15.1,highest_value
Keldon Johnson,4.3,1.5,50,,14.9,highest_value
De'Anthony Melton,3.5,2.2,7,,14.7,highest_value
Jonas Valančiūnas,2.9,2.9,15,,14.3,highest_value
Joel Embiid,5.6,0.5,58,,14.0,highest_value
Naz Reid,4.3,1.2,127,,13.9,highest_value
Caleb Love,2.9,2.5,83,,13.3,highest_value
