player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Jarrett Allen,,9.4,1.3,10,,31.0,highest_value
Cason Wallace,,4.9,2.5,13,,22.1,highest_value
Craig Porter Jr.,,4.1,2.8,2,,19.4,highest_value
Will Riley,,3.4,3.0,1,,17.1,highest_value
Landry Shamet,,3.5,3.0,1,,17.0,highest_value
OG Anunoby,,5.0,1.1,19,,15.4,highest_value
Zach LaVine,,4.7,1.3,11,,15.4,highest_value
Anfernee Simons,,4.2,1.7,8,,15.4,highest_value
Pelle Larsson,,3.8,2.0,92,,15.3,highest_value
Isaiah Collier,,3.8,1.9,42,,14.9,highest_value
Jaylin Williams,,3.0,3.0,17,,14.8,highest_value
Dru Smith,,2.9,2.9,2,,14.3,highest_value
Sam Merrill,,3.7,1.8,10,,13.5,highest_value
