player_name,team,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Nickeil Alexander-Walker,ATL,6.8,0.9,293,,19.6,highest_value
Jordan Miller,LAC,3.8,2.5,14,,17.3,highest_value
Matas Buzelis,CHI,5,1.3,172,,16.4,highest_value
Naji Marshall,DAL,4.8,1.3,41,,16.2,highest_value
Gui Santos,GS,3.4,2.5,243,,15.5,highest_value
De'Anthony Melton,GS,4.1,1.7,9,,15.3,highest_value
Kristaps Porzingis,GS,5,1.0,28,,14.9,highest_value
Gary Payton II,GS,2.9,3.0,60,,14.7,highest_value
Oso Ighodaro,PHX,3,2.9,5,,14.7,highest_value
Will Riley,WSH,2.9,3.0,13,,14.4,highest_value
Karlo Matković,NO,2.8,3.0,1,,14.2,highest_value
Devin Booker,PHX,5.5,0.5,552,,13.7,highest_value
Leonard Miller,CHI,2.7,3.0,30,,13.6,highest_value
Bilal Coulibaly,WSH,3.4,1.9,14,,13.4,highest_value
Yves Missi,NO,2.7,3.0,1,,13.3,highest_value
Jalen Johnson,ATL,5.7,0.3,683,,13.1,highest_value
Toumani Camara,POR,3.6,1.6,13,,12.9,highest_value
