player_name,actual_rs,actual_card_boost,drafts,avg_finish,total_value,source
Alondes Williams,4.9,2.3,2,,20.2,highest_value
Brook Lopez,3.7,3.0,5,,18.6,highest_value
Julian Strawther,3.6,3.0,15,,18.2,highest_value
Sion James,3.5,3.0,1,,17.7,highest_value
Ryan Rollins,5.9,0.9,120,,17.0,highest_value
Javon Small,3.4,2.9,2,,16.5,highest_value
Rudy Gobert,5.1,1.1,27,,15.9,highest_value
Luka Dončić,7.8,,3400,,15.6,highest_value
Kon Knueppel,5.3,0.9,865,,15.5,highest_value
Anthony Gill,3.2,3.0,6,,15.2,highest_value
Jay Huff,3.6,2.1,73,,14.9,highest_value
Cam Thomas,3.7,2.0,88,,14.8,highest_value
Olivier-Maxence Prosper,2.9,3.0,6,,14.5,highest_value
